words,count
no no,16
leave me,10
dont leave,10
baby dont,8
đôi ta,7
dont you,4
baby baby,4
please dont,4
me no,4
yêu thương,4
you come,4
thể quên,4
come please,4
tình đôi,3
quên baby,3
quên đi,3
me baby,3
mơ yêu,2
ngang đừng,2
ngần quên,2
chia tình,2
manh đi,2
giấc mơ,2
đi giấc,2
yêu đắm,2
tình mong,2
yêu hình,2
ta xuân,2
úa thể,2
đắm say,2
xuân tình,2
làng bao,2
trái ngang,2
mong manh,2
ta chia,2
ta lỡ,2
say đôi,2
dần buông,2
buông đừng,2
thương trái,2
đi dont,2
hình bóng,2
ngại ngần,2
đơn thể,2
đừng ngại,2
héo úa,2
đời baby,2
thương héo,2
bóng suốt,2
chút đơn,2
