words,count
no no no,12
dont leave me,10
baby baby dont,4
you come please,4
baby dont you,4
leave me no,4
dont you come,4
please dont leave,4
baby dont leave,4
come please dont,4
me no no,4
thể quên baby,3
tình đôi ta,3
leave me baby,3
me baby dont,3
no yêu hình,2
tình mong manh,2
no no đôi,2
bao nhiêu yêu,2
lỡ làng bao,2
say đôi ta,2
mơ yêu đắm,2
bóng suốt đời,2
suốt đời baby,2
me chút đơn,2
ngang đừng dần,2
thương trái ngang,2
buông đừng ngại,2
đi dont leave,2
chia tình mong,2
yêu thương trái,2
nhiêu yêu thương,2
ta lỡ làng,2
dần buông đừng,2
úa thể quên,2
no no yêu,2
bao yêu thương,2
đơn thể quên,2
xuân tình đôi,2
ta chia tình,2
trái ngang đừng,2
héo úa thể,2
hình bóng suốt,2
leave me chút,2
đừng dần buông,2
yêu thương héo,2
ngại ngần quên,2
giấc mơ yêu,2
đôi ta xuân,2
làng bao yêu,2
