words,count
tình yêu,133
na na,113
yêu thương,87
trái tim,56
mùa hè,55
ah ah,52
giấc mơ,49
hạnh phúc,47
nụ cười,40
hoa sữa,38
quên đi,37
tình ta,36
việt nam,33
nhẹ nhàng,27
mùa thu,27
đôi ta,26
mãi mãi,25
quê hương,24
nỗi đau,24
ước mơ,22
sài gòn,21
ánh mắt,21
vu vơ,20
đợi chờ,20
líu lo,20
đi bao,19
hơi ấm,19
my girl..em,18
a lone,18
i dont,18
bình minh,18
dont want,18
girl..em quên,18
tobe a,18
nắng ấm,18
đôi mắt,18
want tobe,18
êm đềm,17
phút giây,17
ấm dần,17
bơ vơ,17
mưa rơi,17
mùa đông,17
oh oh,16
hà nội,16
lo líu,16
đi tình,16
uh wơ,15
lang thang,15
đẹp quê,15
