words,count
na na na,104
ah ah ah,37
want tobe a,18
tobe a lone,18
girl..em quên đi,18
dont want tobe,18
i dont want,18
my girl..em quên,18
nắng ấm dần,17
lo líu lo,16
líu lo líu,16
hè đẹp quê,15
quên đi bao,15
mùa hè đẹp,15
sài gòn mưa,14
hoa sữa rơi,13
dần nắng ấm,13
wơ uh wơ,12
ấm dần nắng,12
ho ho ho,12
tết việt nam,12
ta tạm biệt,11
tạm biệt đi,11
oh oh oh,11
tang tích tịch,10
hè mùa hè,10
mùa hè mùa,10
hương hoa sữa,10
mơ hạnh phúc,10
hoa đợi nắng,10
i i i,10
màu tình yêu,9
uh wơ uh,9
lone i dont,9
a lone i,9
tiến quân hồng,8
đại đồng tiến,8
mong giới đại,8
đồng tiến quân,8
đi bao nhiêu,8
liều thân đời,8
thời gian trôi,8
giới đại đồng,8
bao ngước mắt,8
nghèo liều thân,8
đời sống mong,8
bao ước mơ,8
sống mong giới,8
ngước mắt trời,8
thân đời sống,8
