words,count
tâm hồn,19
tình yêu,17
trái tim,16
linh hồn,14
bình yên,13
hòn đá,13
xưa ta,12
xưa xưa,12
bão tố,12
hồn kia,12
hôm hôm,12
nụ cười,12
sài gòn,12
ước mơ,11
bầu trời,11
trời xanh,11
đôi mắt,11
vinh quang,10
giá băng,10
chiến tranh,10
đá sống,9
bao đau,9
đau khổ,9
khát khao,9
giấc mơ,8
màn đêm,8
sống sống,8
bọn nít,8
quét đi,8
bay bay,8
bật khóc,8
na na,8
tiếng ca,8
đêm buồn,7
gai chông,7
đại dương,7
chông bầu,7
chân trời,7
âu lo,7
yêu thương,7
mặt đất,7
ta yêu,7
đất gai,7
vô nghĩa,6
hôm buồn,6
suốt đêm,6
ta đau,6
thức dậy,6
hạnh phúc,6
quê hương,6
