words,count
xưa xưa ta,12
linh hồn kia,12
bao đau khổ,9
mặt đất gai,7
đất gai chông,7
gai chông bầu,7
chông bầu trời,7
xưa ta yêu,6
hồn kia ta,6
ngào hôm hôm,6
na na na,6
hôm hôm quên,6
trái tim lìa,6
tim lìa đời,6
hôm buồn trái,6
phận linh hồn,6
hôm hôm buồn,6
khóc phận linh,6
ta yêu hôm,6
ta đau xưa,6
rock xuyên màn,6
kia ta khóc,6
ta khóc phận,6
xưa ta đau,6
buồn trái tim,6
hôm quên ngào,6
đau xưa xưa,6
quên ngào hôm,6
xuyên màn đêm,6
yêu hôm hôm,6
sống thân tâm,5
sống tình yêu,5
trời bão tố,5
hòn đá hòn,5
hồn băng giá,5
bão tố bao,5
đá sống tình,5
băng giá đừng,5
sống hòn đá,5
tình yêu sống,5
đời trao nụ,5
hòn đá sống,5
nụ cười ước,5
yêu sống thân,5
bầu trời bão,5
thân tâm hồn,5
tâm hồn băng,5
đừng sống hòn,5
mơ đời trao,5
cười ước mơ,5
