words,count
muộn phiền,8
cười hahaha,6
hôm hát,6
hát lalala,6
nhịp cầu,4
sông muộn,4
niềm vui,4
bắc nhịp,4
nhánh sông,4
phiền bến,4
ngang nhánh,4
cầu ngang,4
bến sâu,4
your mind,3
gian quý,3
hờ mãi,3
thảnh thơi,3
thẩn thờ,3
hôm cười,3
đợi chờ,3
hững hờ,3
thờ tiếc,3
life is,3
trôi đợi,3
mãi trôi,3
yên hôm,3
nuối tiếc,3
tiếc hững,3
hahaha phút,3
hahaha hôm,3
thơi chào,3
phút giây,3
tiếc ngủ,3
phiền nuối,3
giây muộn,3
chờ thảnh,3
quý giá,3
giá thẩn,3
ngủ yên,3
lalala thời,3
lalala hôm,3
chào niềm,3
vỡ ngây,2
go cười,2
3 let's,2
rực rỡ,2
will ease,2
rộn rã,2
sâu bắc,2
bao đau,2
