words,count
hôm hát lalala,6
phiền bến sâu,4
bắc nhịp cầu,4
nhánh sông muộn,4
ngang nhánh sông,4
cầu ngang nhánh,4
sông muộn phiền,4
nhịp cầu ngang,4
muộn phiền bến,4
phút giây muộn,3
giá thẩn thờ,3
nuối tiếc ngủ,3
hờ mãi trôi,3
tiếc ngủ yên,3
tiếc hững hờ,3
mãi trôi đợi,3
lalala thời gian,3
thời gian quý,3
giây muộn phiền,3
hôm cười hahaha,3
thơi chào niềm,3
cười hahaha phút,3
hahaha hôm hát,3
hững hờ mãi,3
cười hahaha hôm,3
yên hôm hát,3
ngủ yên hôm,3
thẩn thờ tiếc,3
chào niềm vui,3
lalala hôm cười,3
thờ tiếc hững,3
chờ thảnh thơi,3
quý giá thẩn,3
muộn phiền nuối,3
đợi chờ thảnh,3
thảnh thơi chào,3
hát lalala thời,3
hahaha phút giây,3
phiền nuối tiếc,3
hát lalala hôm,3
gian quý giá,3
trôi đợi chờ,3
sâu bắc nhịp,2
you feel life,2
tươi nụ cười,2
vui i know,2
a bridge over,2
rã bao đau,2
mơ tim đập,2
thơ vỡ giấc,2
