words,count
giấc mơ,13
lả noọng,10
inh lả,10
mùa thu,9
đi hỡi,9
trái tim,7
tình ta,6
đôi ta,6
yêu thương,6
tình yêu,5
noọng inh,5
đi mùa,5
nỗi đau,5
mùa xuân,5
hỡi tình,5
đau tình,5
nát tan,5
núi rừng,4
đau giấc,4
mong mãi,4
tan bóng,4
nhặt vỡ,4
thương tiếc,4
ngàn hoa,4
phôi pha,4
tình trao,4
đi bơ,4
đêm lạnh,4
vỡ nát,4
hoa hé,4
ngời mùa,4
tim vô,4
vơ lẻ,4
bé vỡ,4
đau đớn,4
ôm yêu,4
mắt nỗi,4
bóng đêm,4
bắc ngời,4
loi nhặt,4
tình mong,4
phúc bé,4
ta phôi,4
bơ vơ,4
đừng thương,4
ời khắp,4
lạnh lùng,4
thương xưa,4
tây bắc,4
hé cười,4
