words,count
inh lả noọng,10
noọng inh lả,5
lả noọng inh,5
đi mùa thu,5
phúc bé vỡ,4
mãi vui ôm,4
hỡi tình trao,4
lả noọng ời,4
bóng đêm lạnh,4
vỡ nát tan,4
tình ta phôi,4
núi rừng tây,4
đau tình ta,4
cười inh lả,4
khóc trái tim,4
mắt nỗi đau,4
tình mong mãi,4
vui ôm yêu,4
mùa xuân ngàn,4
trái tim vô,4
nhặt vỡ đôi,4
tây bắc ngời,4
khóc khóc trái,4
tan bóng đêm,4
đôi hỡi tình,4
đi bơ vơ,4
bơ vơ lẻ,4
ngời mùa xuân,4
hoa hé cười,4
ời khắp núi,4
nát tan bóng,4
nỗi đau giấc,4
lùng đi bơ,4
xuân ngàn hoa,4
đêm lạnh lùng,4
vỡ đôi hỡi,4
mong đừng thương,4
bắc ngời mùa,4
lẻ loi nhặt,4
rừng tây bắc,4
trao đau đớn,4
thương tiếc chi,4
tim vô tình,4
noọng ời khắp,4
ta phôi pha,4
tiếc chi đau,4
tình trao đau,4
hạnh phúc bé,4
bé vỡ nát,4
ôm yêu thương,4
