words,count
ha ha,21
đinh lĩnh,19
tình yêu,14
hoa kia,9
mùi hương,9
đổi thay,8
hoa hoa,7
giấc mộng,7
đi đời,7
cánh hoa,6
tiếc nuối,6
bướm hoa,6
hoa xuân,6
vương vai,6
tình đẹp,6
vai chiều,6
chiều đi,6
hạnh phúc,5
đô hoa,4
trâu vàng,4
trót yêu,4
lĩnh đinh,4
niềm hạnh,4
đinh tiên,4
tiên hoàng,4
tình đôi,4
kiếp yêu,4
yêu ta,4
cồ việt,4
dò ta,4
yêu muôn,4
yêu suốt,4
thái bình,4
niên hiệu,4
lĩnh đại,4
yêu đừng,4
mơ giấc,4
đôi niềm,4
việt đinh,4
ta ta,4
đại cồ,4
mộng hồng,4
yêu lừa,4
muôn kiếp,4
nắng mưa,4
mùa xuân,4
tình nồng,4
lư đinh,4
phúc yêu,4
lừa dối,4
