words,count
ha ha ha,18
vai chiều đi,6
vương vai chiều,6
chiều đi đời,6
yêu muôn kiếp,4
dò ta thể,4
ta thể quên,4
hoàng đinh lĩnh,4
lĩnh đóng đô,4
hiệu thái bình,4
đinh lĩnh đại,4
đời phai phôi,4
đại cồ việt,4
dặn dò ta,4
lĩnh niên hiệu,4
yêu suốt đời,4
lư đinh lĩnh,4
phúc yêu muôn,4
phôi tình đôi,4
đôi niềm hạnh,4
tình yêu lừa,4
niềm hạnh phúc,4
tình yêu ta,4
yêu lừa dối,4
giấc mộng bướm,4
cồ việt đinh,4
lĩnh đại cồ,4
đinh lĩnh đinh,4
phai phôi tình,4
tiên hoàng đinh,4
hoa lư đinh,4
tình đôi niềm,4
mộng bướm hoa,4
kiếp yêu suốt,4
đóng đô hoa,4
đinh lĩnh đóng,4
việt đinh lĩnh,4
hạnh phúc yêu,4
bướm hoa hoa,4
lĩnh đinh tiên,4
đinh tiên hoàng,4
niên hiệu thái,4
hoa hoa kia,4
muôn kiếp yêu,4
đinh lĩnh niên,4
đô hoa lư,4
quân dân khâm,3
mơ hồ say,3
đinh lĩnh hằng,3
say mê phút,3
