words,count
long quân,10
in bóng,8
âu non,8
non in,8
lạc long,6
mãi ngàn,6
ngàn yêu,6
a a,6
thoại long,4
khen chí,4
ru ngàn,4
quân non,4
chàng mãi,4
say mê,4
xô thời,4
vấn dịu,4
tài chàng,4
chàng lạc,4
nàng mãi,4
chí tài,4
bóng nàng,4
bóng chàng,4
muôn đời,4
yêu ngàn,4
gian gió,4
nàng âu,4
ngàn hoa,4
tình ca,4
hoa lá,4
đời ơn,4
muông thú,4
sóng xô,4
gió ru,4
quân âu,4
dàng nàng,4
mê tình,4
huyền thoại,4
ngàn hương,4
lúa hoa,4
dịu dàng,4
hương lúa,4
vương vấn,4
bàng thiêng,4
lá vương,4
thú khen,4
hồng bàng,4
ngàn muông,4
non ngàn,4
ca sóng,2
ca ngàn,2
