words,count
giấc mơ,12
when we,7
we were,7
were young,7
yêu thương,7
one day,7
việt nam,6
đôi ta,6
trái tim,6
young one,6
me when,6
ước mơ,5
tình ta,5
thân việt,5
đau tình,5
bóng đêm,5
chào thân,5
nát tan,5
mắt nỗi,4
mong mãi,4
tình trao,4
chở hồn,4
đêm lạnh,4
hạnh phúc,4
tim vô,4
lạnh lùng,4
hồn sông,4
vỡ nát,4
you love,4
vơ lẻ,4
hỡi tình,4
đau đớn,4
you loved,4
đi bơ,4
ôm yêu,4
đất thiêng,4
tình mong,4
vô tình,4
tan bóng,4
tình yêu,4
loi nhặt,4
bé vỡ,4
phôi pha,4
ta phôi,4
nhặt vỡ,4
thương tiếc,4
you told,4
sông núi,4
phúc bé,4
trao đau,4
