words,count
when we were,7
we were young,7
were young one,6
young one day,6
me when we,6
chào thân việt,5
thân việt nam,5
đêm lạnh lùng,4
hạnh phúc bé,4
yêu thương xưa,4
đau tình ta,4
vô tình mong,4
khóc trái tim,4
mắt nỗi đau,4
tình mong mãi,4
đau giấc mơ,4
ước mơ chạm,4
thương tiếc chi,4
you loved me,4
hồn sông núi,4
loved me when,4
tan bóng đêm,4
nhặt vỡ đôi,4
me you love,4
khóc khóc trái,4
you told me,4
đôi hỡi tình,4
sông núi thiêng,4
bơ vơ lẻ,4
phúc bé vỡ,4
chạm đất thiêng,4
bóng đêm lạnh,4
nát tan bóng,4
vỡ đôi hỡi,4
lùng đi bơ,4
tình ta phôi,4
mãi vui ôm,4
vui ôm yêu,4
mơ chạm đất,4
vơ lẻ loi,4
mong đừng thương,4
đi bơ vơ,4
lẻ loi nhặt,4
tiếc chi đau,4
trao đau đớn,4
hỡi tình trao,4
tim vô tình,4
ôm yêu thương,4
ta phôi pha,4
trái tim vô,4
