words,count
tình yêu,8272
yêu thương,4531
trái tim,3568
giấc mơ,3227
hạnh phúc,3031
mùa xuân,2777
đôi ta,1986
yêu yêu,1905
quê hương,1745
nụ cười,1744
mãi mãi,1682
kỷ niệm,1652
ước mơ,1589
tình ta,1495
na na,1488
mưa rơi,1448
quên đi,1366
oh oh,1314
phút giây,1223
mong chờ,1199
mùa đông,1187
nỗi đau,1170
dòng sông,1158
,1091
đợi chờ,1066
ta yêu,1044
ánh mắt,1011
yêu mãi,992
mùa thu,986
bình yên,984
việt nam,983
thiết tha,973
đổi thay,968
tiếng hát,930
đi đi,895
đôi mắt,890
nụ hôn,886
ta đi,884
đắng cay,882
yêu tình,875
da da,859
yêu dấu,857
đắm say,848
niềm vui,846
ha ha,845
dịu dàng,845
hơ hơ,844
êm đềm,826
mãi yêu,798
yêu ta,793
