words,count
la la la,2625
na na na,1327
oh oh oh,793
da da da,755
ha ha ha,725
hơ hơ hơ,636
,444
yêu tình yêu,427
bao yêu thương,414
thời gian trôi,412
tình yêu ta,341
la lá la,326
hư hư hư,325
yêu yêu yêu,298
i i i,293
tình đôi ta,280
lá la la,272
tình yêu mãi,261
xuân mùa xuân,253
la la lá,251
ho ho ho,249
tình yêu trao,246
trái tim yêu,244
bao kỷ niệm,238
tết tết tết,231
kỷ niệm xưa,229
tình yêu tình,223
hu hu hu,221
yêu trái tim,218
bao nhiêu yêu,215
ah ah ah,214
mùa xuân mùa,205
mơ giấc mơ,195
uh uh uh,194
yêu mãi mãi,189
tình yêu đôi,180
đi tình yêu,178
quên đi bao,178
xuân xuân xuân,176
niềm hạnh phúc,171
mơ tình yêu,170
yêu suốt đời,169
yêu đôi ta,169
bao ước mơ,166
đi bao nhiêu,163
mãi mãi yêu,162
cất tiếng hát,160
trái tim ta,159
mưa rơi rơi,159
yêu trọn đời,159
