words,count
tình yêu,75
u u,42
wish you,35
you a,35
a merry,35
merry christmas,35
yêu hỡi,33
like to,26
happy party,25
yêu yêu,25
tác giả,25
party we,25
of my,23
giấc mơ,22
tiếng yêu,22
my head,22
i just,21
out of,21
just can't,21
hỡi yêu,21
let's party,20
head boy,20
to party,20
donna donna,20
you out,20
think about,20
get you,20
trái tim,20
love you,20
we like,20
jd party,20
i love,20
al le,20
can't get,20
na na,20
wanna wish,18
đôi ta,18
i wanna,18
mãi mãi,18
a le,18
gian dối,17
we wish,17
yêu dấu,17
rock with,17
with me,17
mơ ước,16
muộn phiền,16
phôi phai,15
always be,15
chi xôi,15
