words,count
la la la,152
u u u,40
you a merry,35
wish you a,35
a merry christmas,35
out of my,21
i just can't,21
of my head,20
just can't get,20
my head boy,20
can't get you,20
you out of,20
i love you,20
like to party,20
party we like,20
we like to,20
get you out,20
let's party we,20
i wanna wish,18
wanna wish you,18
we wish you,17
rock with me,17
loi bai hat,15
ước chi xôi,15
al le al,15
mơ ước chi,15
hứa vu vơ,15
le al le,15
cát bụi,15
tình gian dối,15
hat lyric,15
bai hat lyric,15
le a le,12
christmas i wanna,12
merry christmas i,12
a le a,12
hư hư hư,12
đi tình yêu,11
head boy it's,10
chi xôi i,10
you woh-oh-oh-woh-woh i,10
nhắc ân tình,10
yêu đầu tiếng,10
apart let's party,10
long tình yêu,10
chôn mãi đổi,10
ca bầu trời,10
tiếng yêu vang,10
yêu hỡi yêu,10
donna donna ngủ,10
