words,count
hương lúa,22
đinh lĩnh,19
yêu thương,17
tình yêu,13
cánh đồng,11
chim hót,11
tình quê,10
đồng làng,10
chào trường,8
bướm đùa,8
trường đấy,8
bươm bướm,8
lá tung,8
cành chào,8
hoa lá,8
xếp thuyền,8
đùa hoa,8
nụ cười,8
hót cành,8
đấy bươm,8
tung bay,8
nồng nàn,7
hạnh phúc,7
bay chim,7
lúa nồng,7
chủ nhật,6
lơ hó,6
a li,6
dòng gọi,6
đa ngả,6
hò lờ,6
vang vang,6
câu hò,6
ha ha,6
hò lơ,6
xuôi dòng,6
giấy buồn,6
ngả bóng,6
vang câu,6
mênh mông,6
hó lơ,6
lơ a,6
đồng tình,6
đời xưa,6
đêm đời,6
buồn thả,6
thuyền giấy,6
li hò,6
mùa đông,6
thả xuôi,6
