words,count
cánh đồng làng,10
đấy bươm bướm,8
đùa hoa lá,8
lá tung bay,8
trường đấy bươm,8
hót cành chào,8
chào trường đấy,8
cành chào trường,8
hoa lá tung,8
chim hót cành,8
bướm đùa hoa,8
bươm bướm đùa,8
tung bay chim,7
hương lúa nồng,7
bay chim hót,7
lúa nồng nàn,7
vang câu hò,6
thả xuôi dòng,6
đêm đời xưa,6
đồng tình quê,6
hó lơ a,6
lơ hó lơ,6
lơ a li,6
buồn thả xuôi,6
thuyền giấy buồn,6
a li hò,6
xếp thuyền giấy,6
xuôi dòng gọi,6
đa ngả bóng,6
li hò lờ,6
giấy buồn thả,6
hò lơ hó,6
vang vang câu,6
hương lúa dịu,5
học đêm đời,5
lúa dịu dàng,5
đồng làng cánh,5
dàng hương lúa,5
nàn hương lúa,5
làng hương lúa,5
dịu dàng hương,5
nồng nàn hương,5
hương lúa mong,5
làng cánh đồng,5
đồng làng hương,5
hoàng đinh lĩnh,4
lĩnh đóng đô,4
hiệu thái bình,4
mênh mông mênh,4
đinh lĩnh đại,4
