words,count
tình yêu,8546
yêu thương,4695
trái tim,3689
giấc mơ,3328
hạnh phúc,3130
mùa xuân,2902
đôi ta,2051
yêu yêu,1954
quê hương,1853
nụ cười,1822
mãi mãi,1778
kỷ niệm,1694
ước mơ,1642
oh oh,1623
tình ta,1555
na na,1511
mưa rơi,1492
quên đi,1417
phút giây,1270
,1265
mùa đông,1249
mong chờ,1239
dòng sông,1212
nỗi đau,1205
đợi chờ,1121
ta yêu,1077
việt nam,1056
ánh mắt,1049
thiết tha,1022
yêu mãi,1017
bình yên,1010
đổi thay,1008
mùa thu,1007
hơ hơ,973
tiếng hát,971
đi đi,946
ta đi,940
đôi mắt,927
ha ha,917
đắng cay,906
nụ hôn,903
yêu dấu,901
yêu tình,894
đắm say,888
niềm vui,881
êm đềm,867
dịu dàng,864
da da,859
mãi yêu,835
lang thang,820
