words,count
la la la,2898
na na na,1337
oh oh oh,1061
ha ha ha,771
da da da,755
hơ hơ hơ,746
,539
bao yêu thương,437
yêu tình yêu,432
thời gian trôi,417
hư hư hư,389
la lá la,363
tình yêu ta,355
i i i,335
lá la la,309
yêu yêu yêu,305
tình đôi ta,299
la la lá,291
tình yêu mãi,265
xuân mùa xuân,260
trái tim yêu,258
ho ho ho,251
tình yêu trao,249
bao kỷ niệm,241
kỷ niệm xưa,239
hu hu hu,239
bao nhiêu yêu,231
tết tết tết,231
yêu trái tim,228
ah ah ah,227
tình yêu tình,226
mùa xuân mùa,215
yêu mãi mãi,202
đi tình yêu,200
uh uh uh,196
mơ giấc mơ,196
hồ chí minh,185
quên đi bao,185
tình yêu đôi,185
niềm hạnh phúc,181
mơ tình yêu,177
xuân xuân xuân,176
yêu suốt đời,176
mãi mãi yêu,175
yêu đôi ta,175
bao ước mơ,172
trái tim ta,169
i love you,165
ta tình yêu,164
yêu trọn đời,163
