performer,count
,160
various artists,68
hương lan,60
thu hiền,42
quang lê,39
dương hồng loan,38
vân khánh,36
quang linh,35
ngọc sơn,35
như quỳnh,35
phi nhung,33
chế thanh,28
hòa tấu,27
mạnh quỳnh,25
đang cập nhật,25
long nhật,24
trường sơn,24
khưu huy vũ,24
thanh ngân,23
lương gia huy,22
bảo yến,22
kim thư,20
lê như,20
ngọc hân,19
dương ngọc thái,19
ái vân,19
tường nguyên,18
lưu chí vỹ,18
lê sang,18
lưu ánh loan,17
ân thiên vỹ,17
khang lê,17
chưa rõ,17
trường vũ,17
thanh thúy,16
trọng tấn,16
đàm vĩnh hưng,16
ngô quốc linh,15
giáng tiên,15
anh thơ,14
hồng phượng,14
hạ vy,14
đông đào,14
trung hậu,13
ánh tuyết,13
mai lệ quyên,13
hoàng châu,13
hương thủy,13
lâm bảo phi,13
cẩm ly,13
