performer,count
,35
khánh hà,10
various artists,9
khắc việt,7
ánh tuyết,5
xuân hiếu,5
đàm vĩnh hưng,4
hòa tấu,4
miu lê,4
ẩn  lan,3
phương lan,3
quang dũng,3
nguyên khang,3
thu thủy độc tấu đàn,3
hoài phương,3
cindy thái tài,3
mỹ lệ,3
phương thanh,3
phương anh,3
nguyễn thu thủy,3
kim tuấn,3
vy oanh,3
trần mạnh tuấn,3
thái hòa,3
đông nhi,3
nguyễn đình toàn,3
hồng nhung,3
huỳnh lộc,3
hồ ngọc hà,3
yoshi imamura & liz kinon,3
hoàng thiên khánh,3
vân quỳnh,3
minh hằng,3
sĩ thanh,3
mỹ linh,3
ngọc lan,3
han sara,3
châu việt cường,2
hà minh tiến,2
tinybabe,2
spy,2
thùy chi,2
cẩm vân,2
oplus,2
lilsun,2
bb thy,2
rock version,2
tuấn kc,2
mr.saker,2
hồ xuân đào,2
