performer,count
,1063
đàm vĩnh hưng,271
various artists,217
minh tuyết,210
lam trường,201
lý hải,194
hồ quang hiếu,163
thanh thảo,148
quang dũng,139
quang vinh,122
quang hà,121
hồ ngọc hà,118
phan đinh tùng,115
cao thái sơn,114
khắc việt,113
noo phước thịnh,112
lệ quyên,111
bằng cường,110
phương thanh,110
tuấn hưng,105
thủy tiên,98
bằng kiều,97
hồ quỳnh hương,93
bảo thy,93
hồng ngọc,92
ngọc sơn,90
nguyễn hưng,87
hòa tấu,87
hiền thục,86
hoàng châu,86
ưng hoàng phúc,82
nam cường,82
quách tuấn du,82
khởi my,80
phạm trưởng,80
quang linh,77
bùi anh tuấn,76
đông nhi,76
don hồ,74
dương triệu vũ,74
lương tùng quang,74
lương gia huy,73
khánh phương,72
minh thuận,72
vy oanh,69
đang cập nhật,67
lê hiếu,67
hà anh tuấn,67
thúy khanh,67
mắt ngọc,66
