performer,count
khánh ly,41
hồng nhung,37
various artists,34
trịnh vĩnh trinh,28
thái hòa,26
quang dũng,22
,20
hòa tấu,18
đàm vĩnh hưng,17
mỹ linh,17
cẩm vân,16
trịnh công sơn,16
trần thu hà,14
thu phương,14
trần mạnh tuấn,14
tuấn ngọc,14
ngọc lan,13
nguyễn đình toàn,12
giang trang,11
phương thanh,10
ánh tuyết,10
hiền thục,10
don hồ,9
huỳnh lộc,9
quốc vĩnh,9
thanh lam,9
tấn sơn,9
hoàng lê vi,8
thanh hà,8
mỹ lệ,8
đang cập nhật,8
thủy tiên,8
toàn nguyễn,7
nguyễn hồng ân,7
yoshi imamura & liz kinon,7
hồng mơ,6
lô thủy,6
hoài nam,6
5 dòng kẻ,6
vô thường,6
bảo yến,6
ý lan,6
thanh thảo,6
ngọc sơn,5
như quỳnh,5
tam ca áo trắng,5
vĩnh tâm,5
khánh hà,5
hồ ngọc hà,5
đức tuấn,5
