performer,count
,559
ngọc sơn,304
various artists,281
hòa tấu,240
đàm vĩnh hưng,221
khưu huy vũ,194
hương lan,193
quang dũng,166
dương hồng loan,166
mạnh quỳnh,165
như quỳnh,163
trường vũ,139
quang lê,137
bảo yến,136
trường sơn,135
chế thanh,135
quang linh,127
hoàng châu,122
lưu ánh loan,117
phi nhung,112
thu hiền,110
long nhật,109
lương gia huy,109
mai thiên vân,107
hương ngọc vân,106
ngọc lan,101
lệ quyên,98
dương ngọc thái,96
ý lan,94
lưu chí vỹ,93
hạ vy,92
lâm bảo phi,91
ngọc hân,89
tường nguyên,87
quách tuấn du,86
bằng kiều,85
ân thiên vỹ,85
minh tuyết,85
nguyễn hưng,84
vân khánh,83
giáng tiên,78
hồng nhung,78
ái vân,77
trần thu hà,77
nguyễn hồng ân,77
kim thư,77
khánh bình,77
thùy dương,75
tuấn ngọc,74
ngô quốc linh,74
