performer,count
,33
lk,10
justatee,7
tim,7
various artists,7
suboi,7
karik,7
mr.t,6
mỹ linh,6
quang vinh,5
emily,5
mắt ngọc,5
hồng nhung,5
lệ quyên,5
bigdaddy,5
bằng kiều,4
leg,4
nguyễn hồng ân,4
hoàng tôn,4
lâm vũ,4
yanbi,4
binz,4
lt,4
minh tuyết,4
đức kaishi,4
võ đình hiếu,3
quang dũng,3
phan đinh tùng,3
bảo kun,3
a huy,3
hằng bingboong,3
phương thanh,3
hạ vy,3
thanh lam,3
châu gia kiệt,3
như quỳnh,3
hòa tấu,3
hoàng hải,3
đat dg,3
sơn tùng m,3
nam cường,3
mr t,3
thế sơn,3
kay trần,3
dương diễm duyên,3
bé triệu vy,3
pi band,3
lê việt,3
quốc thiên,3
nguyễn hưng,2
