performer,count
,1924
various artists,765
đàm vĩnh hưng,523
ngọc sơn,409
hòa tấu,378
quang dũng,320
hương lan,290
minh tuyết,283
lam trường,270
lý hải,256
khưu huy vũ,254
như quỳnh,243
quang linh,228
thanh thảo,224
mạnh quỳnh,211
lương gia huy,210
hoàng châu,209
lệ quyên,200
bảo yến,199
dương hồng loan,193
phương thanh,184
đang cập nhật,183
hồng nhung,181
bằng kiều,178
chế thanh,177
hồ quang hiếu,176
quách tuấn du,174
thu hiền,174
nguyễn hưng,173
quang lê,172
long nhật,171
ngọc lan,171
quang hà,168
hạ vy,164
phi nhung,163
trường vũ,163
trường sơn,159
lưu ánh loan,158
hiền thục,158
nguyễn hồng ân,146
don hồ,145
trần thu hà,145
hồ ngọc hà,143
dương ngọc thái,142
phan đinh tùng,141
ý lan,141
quang vinh,139
trọng tấn,137
hồ quỳnh hương,136
lưu chí vỹ,136
