performer,count
,2220
various artists,810
đàm vĩnh hưng,528
ngọc sơn,411
hòa tấu,388
quang dũng,322
hương lan,292
minh tuyết,285
lam trường,275
lý hải,256
khưu huy vũ,254
như quỳnh,245
quang linh,229
thanh thảo,225
lương gia huy,213
mạnh quỳnh,212
hoàng châu,209
lệ quyên,202
bảo yến,199
đang cập nhật,197
dương hồng loan,193
phương thanh,188
hồng nhung,187
bằng kiều,184
chế thanh,177
hồ quang hiếu,176
thu hiền,175
quách tuấn du,174
nguyễn hưng,174
quang lê,172
ngọc lan,172
long nhật,171
quang hà,168
phi nhung,164
hạ vy,164
trường vũ,163
hiền thục,159
trường sơn,159
lưu ánh loan,158
don hồ,149
nguyễn hồng ân,148
trần thu hà,147
ý lan,144
hồ ngọc hà,143
dương ngọc thái,142
phan đinh tùng,141
quang vinh,139
mỹ linh,138
trọng tấn,137
hồ quỳnh hương,137
